"Cite as: CAIT Climate Data Explorer. 2015. Washington, DC: World Resources Institute. Available online at:Êhttp://cait.wri.org.Ê Please Note: CAIT data are derived from several sources. Any use of the Land-Use Change and Forestry or Agriculture indicator should be cited as FAO 2014, FAOSTAT Emissions Database. Any use of CO2Êemissions from fuel combustion data should be cited as CO2ÊEmissions from Fuel Combustion, ©OECD/IEA, 2014.",,,,,,,,,,,,,,,,,,,,,
,,Total GHG,,Emissions by Gas excluding LUCF,,,,Emissions by Gas including LUCF,,,Emissions by Sector,,,,,,Emissions by Energy Sub-Sector,,,,
Country,Year,Total GHG Emissions Excluding Land-Use Change and Forestry (MtCO2e),Total GHG Emissions Including Land-Use Change and Forestry (MtCO?e?),Total CO2 (excluding Land-Use Change and Forestry) (MtCO2),Total CH4 (MtCO2e),Total N2O (MtCO2e),Total F-Gas (MtCO2e),Total CO2 (including Land-Use Change and Forestry) (MtCO2),Total CH4 (including Land-Use Change and Forestry) (MtCO2e),Total N2O (including Land-Use Change and Forestry) (MtCO2e),Energy (MtCO2e),Industrial Processes (MtCO2e),Agriculture (MtCO2e),Waste (MtCO2e),Land-Use Change and Forestry (MtCO2),Bunker Fuels (MtCO2),Electricity/Heat (MtCO2),Manufacturing/Construction (MtCO2),Transportation (MtCO2),Other Fuel Combustion (MtCO2e),Fugitive Emissions (MtCO2e)
Algeria,2007,150.9651,152.8032,103.6753,40.0637,5.3285,1.8976,105.14168,40.32291767,5.441082456,122.7877,10.0552,8.8302,9.302,1.8382,2.21,33.9,11.87,27.33,13.8974,35.7903
Algeria,2008,155.7524,157.358,107.9449,40.4988,5.0091,2.2996,109.411764,40.59549698,5.051109211,126.6978,11.2092,8.4305,9.4149,1.6055,2.26,35.22,12.07,28.89,13.7883,36.7295
Algeria,2009,166.2352,167.7364,116.5058,41.3014,5.7263,2.7016,117.973258,41.32492628,5.736535967,135.0009,12.2716,9.4349,9.5278,1.5012,2.33,36.6,12.3,30.21,17.6892,38.2017
Algeria,2010,167.8467,169.3229,116.827,42.0193,5.8967,3.1037,118.294992,42.02497558,5.899212723,135.5406,12.8576,9.8078,9.6408,1.4761,2.43,36.27,13.17,31.39,17.1,37.6105
Algeria,2011,173.9844,175.6161,120.9085,43.5407,5.9584,3.5769,122.37694,43.65446209,6.007787209,140.4339,13.7839,10.0114,9.7553,1.6317,2.23,39.6,13.52,32.32,18.8679,36.126
Algeria,2012,187.3349,189.0811,131.6345,45.2083,6.4419,4.0502,133.1034959,45.40160859,6.525811696,151.9492,14.7328,10.7831,9.8698,1.7462,2.42,43.99,13.61,36.56,20.6258,37.1634
Angola,1990,52.3449,105.0185,6.4579,30.9597,14.9253,0.002,46.84921,39.82238816,18.34483005,25.2162,0.1303,26.4933,0.5152,52.6736,1.05,0.5,1.85,1.01,1.6042,20.252
Angola,1991,53.9428,106.6158,6.6611,32.3134,14.9658,0.0026,47.05179,41.17606392,18.3853268,26.7033,0.1308,26.5696,0.5291,52.673,0.9,0.46,1.72,1.24,1.6473,21.636
Angola,1992,55.1535,107.8258,6.4589,33.6752,15.0163,0.0031,46.848934,42.53786968,18.43588355,27.783,0.1533,26.6641,0.543,52.6723,0.82,0.4,1.79,1.17,1.6004,22.8226
Angola,1993,56.8919,109.5636,6.9997,34.9234,14.9652,0.0036,47.389136,43.78606545,18.3847103,29.6734,0.1282,26.5432,0.557,52.6717,0.92,0.34,2.25,1.2,1.5235,24.3599
